,ip,type,subtype
2746,10.120.14.128,Internal,Class A
2747,10.129.235.55,Internal,Class A
2748,10.120.14.60,Internal,Class A
2749,10.200.105.26,Internal,Class A
2750,10.129.235.25,Internal,Class A
2751,110.237.146.27,External,External
2752,10.120.12.53,Internal,Class A
2753,10.195.18.36,Internal,Class A
2754,10.129.176.139,Internal,Class A
2755,10.195.12.15,Internal,Class A
2756,23.253.34.115,External,External
2757,10.197.78.72,Internal,Class A
2758,10.129.235.29,Internal,Class A
2759,192.168.186.20,Internal,Class C
2760,10.196.137.118,Internal,Class A
2761,10.120.13.131,Internal,Class A
2762,192.168.184.251,Internal,Class C
2763,10.129.48.7,Internal,Class A
2764,77.6.146.186,External,External
2765,10.129.178.45,Internal,Class A
2766,10.129.176.77,Internal,Class A
2767,202.52.43.129,External,External
2768,192.168.144.40,Internal,Class C
2769,190.105.247.195,External,External
2770,10.129.232.21,Internal,Class A
2771,8.120.27.170,External,External
2772,10.196.78.36,Internal,Class A
2773,207.95.109.177,External,External
2774,192.168.184.250,Internal,Class C
2775,100.102.53.60,External,External
2776,10.196.214.33,Internal,Class A
2777,191.53.91.53,External,External
2778,10.129.175.120,Internal,Class A
2779,10.120.11.242,Internal,Class A
2780,10.120.12.31,Internal,Class A
2781,10.120.11.159,Internal,Class A
2782,10.81.232.201,Internal,Class A
2783,10.129.87.70,Internal,Class A
2784,10.120.11.95,Internal,Class A
2785,10.129.175.122,Internal,Class A
2786,158.250.166.12,External,External
2787,124.24.243.251,External,External
2788,192.168.188.92,Internal,Class C
2789,10.197.80.70,Internal,Class A
2790,10.129.235.91,Internal,Class A
2791,192.168.167.252,Internal,Class C
2792,10.129.176.11,Internal,Class A
2793,192.168.154.241,Internal,Class C
2794,107.93.209.85,External,External
2795,10.127.13.50,Internal,Class A
2796,192.168.188.90,Internal,Class C
2797,10.129.235.63,Internal,Class A
2798,10.129.47.115,Internal,Class A
2799,213.180.241.91,External,External
2800,164.85.81.121,External,External
2801,10.129.234.66,Internal,Class A
2802,179.249.20.112,External,External
2803,10.196.204.49,Internal,Class A
2804,10.127.13.95,Internal,Class A
2805,191.184.54.2,External,External
2806,198.227.144.211,External,External
2807,10.196.202.4,Internal,Class A
2808,10.196.78.34,Internal,Class A
2809,192.168.138.13,Internal,Class C
2810,10.129.48.29,Internal,Class A
2811,192.168.190.176,Internal,Class C
2812,10.129.17.241,Internal,Class A
2813,98.112.57.31,External,External
2814,10.196.201.14,Internal,Class A
2815,10.129.47.158,Internal,Class A
2816,10.129.231.21,Internal,Class A
2817,10.129.235.79,Internal,Class A
2818,10.195.202.23,Internal,Class A
2819,10.196.214.10,Internal,Class A
2820,10.197.137.53,Internal,Class A
2821,93.237.18.38,External,External
2822,10.129.235.28,Internal,Class A
2823,10.129.235.66,Internal,Class A
2824,10.197.90.65,Internal,Class A
2825,10.120.13.196,Internal,Class A
2826,218.83.181.173,External,External
2827,202.52.43.124,External,External
2828,192.168.195.173,Internal,Class C
2829,10.197.208.113,Internal,Class A
2830,10.129.235.42,Internal,Class A
2831,10.97.112.43,Internal,Class A
2832,192.168.183.64,Internal,Class C
2833,169.254.183.152,External,External
2834,10.200.105.221,Internal,Class A
2835,10.129.175.68,Internal,Class A
2836,192.168.142.108,Internal,Class C
2837,10.127.12.89,Internal,Class A
2838,10.97.107.46,Internal,Class A
2839,10.196.204.17,Internal,Class A
2840,10.129.17.152,Internal,Class A
2841,10.197.207.246,Internal,Class A
2842,10.129.235.6,Internal,Class A
2843,192.168.144.14,Internal,Class C
2844,10.195.80.40,Internal,Class A
2845,10.129.235.78,Internal,Class A
2846,10.129.179.18,Internal,Class A
2847,10.129.175.217,Internal,Class A
2848,124.126.117.171,External,External
2849,169.254.140.5,External,External
2850,10.120.11.51,Internal,Class A
2851,10.196.216.17,Internal,Class A
2852,10.129.235.43,Internal,Class A
2853,179.212.251.180,External,External
2854,121.20.240.38,External,External
2855,192.168.144.8,Internal,Class C
2856,10.200.105.62,Internal,Class A
2857,10.120.12.36,Internal,Class A
2858,51.63.37.73,External,External
2859,10.120.11.248,Internal,Class A
2860,10.200.105.254,Internal,Class A
2861,20.112.229.124,External,External
2862,10.120.13.216,Internal,Class A
2863,10.195.202.16,Internal,Class A
2864,192.168.157.62,Internal,Class C
2865,192.168.183.63,Internal,Class C
2866,192.168.184.187,Internal,Class C
2867,11.167.25.202,External,External
2868,192.168.192.38,Internal,Class C
2869,10.129.179.24,Internal,Class A
2870,10.197.78.64,Internal,Class A
2871,10.196.152.4,Internal,Class A
2872,115.139.66.17,External,External
2873,10.199.14.49,Internal,Class A
2874,10.129.235.60,Internal,Class A
2875,126.79.85.189,External,External
2876,10.12.40.254,Internal,Class A
2877,10.61.19.6,Internal,Class A
2878,10.120.13.93,Internal,Class A
2879,10.197.90.132,Internal,Class A
2880,10.196.206.25,Internal,Class A
2881,10.196.166.58,Internal,Class A
2882,10.120.14.127,Internal,Class A
2883,10.127.13.110,Internal,Class A
2884,192.168.155.39,Internal,Class C
2885,10.127.13.142,Internal,Class A
2886,10.197.206.47,Internal,Class A
2887,95.248.167.131,External,External
2888,202.52.43.117,External,External
2889,10.196.224.15,Internal,Class A
2890,10.129.175.185,Internal,Class A
2891,10.129.47.99,Internal,Class A
2892,10.127.12.31,Internal,Class A
2893,192.168.195.150,Internal,Class C
2894,10.120.14.4,Internal,Class A
2895,10.129.236.12,Internal,Class A
2896,10.127.13.104,Internal,Class A
2897,10.199.14.81,Internal,Class A
2898,191.53.88.27,External,External
2899,10.129.230.24,Internal,Class A
2900,129.200.2.194,External,External
2901,10.129.236.200,Internal,Class A
2902,10.196.202.11,Internal,Class A
2903,10.201.45.55,Internal,Class A
2904,10.129.17.97,Internal,Class A
2905,10.196.168.131,Internal,Class A
2906,10.196.168.21,Internal,Class A
2907,10.129.47.54,Internal,Class A
2908,161.94.136.152,External,External
2909,10.120.11.116,Internal,Class A
2910,131.64.94.200,External,External
2911,202.52.43.104,External,External
2912,10.120.11.68,Internal,Class A
2913,43.36.16.89,External,External
2914,52.101.72.74,External,External
2915,10.199.16.64,Internal,Class A
2916,205.247.11.56,External,External
2917,10.129.236.42,Internal,Class A
2918,10.129.48.111,Internal,Class A
2919,10.196.166.60,Internal,Class A
2920,10.97.235.84,Internal,Class A
2921,10.195.12.254,Internal,Class A
2922,183.200.218.235,External,External
2923,10.129.47.65,Internal,Class A
2924,10.129.178.8,Internal,Class A
2925,10.129.179.72,Internal,Class A
2926,190.105.247.239,External,External
2927,10.120.14.119,Internal,Class A
2928,10.129.17.49,Internal,Class A
2929,183.105.230.21,External,External
2930,10.196.74.7,Internal,Class A
2931,10.129.232.31,Internal,Class A
2932,203.157.195.245,External,External
2933,192.168.180.2,Internal,Class C
2934,10.129.234.87,Internal,Class A
2935,10.120.11.178,Internal,Class A
2936,204.50.186.213,External,External
2937,10.127.13.115,Internal,Class A
2938,7.202.136.195,External,External
2939,10.195.80.30,Internal,Class A
2940,10.120.14.97,Internal,Class A
2941,10.98.90.106,Internal,Class A
2942,10.129.47.132,Internal,Class A
2943,10.196.214.143,Internal,Class A
2944,10.129.17.53,Internal,Class A
2945,10.120.14.139,Internal,Class A
2946,10.120.11.224,Internal,Class A
2947,10.129.48.93,Internal,Class A
2948,10.129.88.30,Internal,Class A
2949,10.129.179.13,Internal,Class A
2950,10.195.18.65,Internal,Class A
2951,10.129.235.26,Internal,Class A
2952,169.254.36.4,External,External
2953,10.120.12.7,Internal,Class A
2954,192.168.147.248,Internal,Class C
2955,191.244.25.155,External,External
2956,10.196.137.151,Internal,Class A
2957,10.129.176.14,Internal,Class A
2958,10.197.208.63,Internal,Class A
2959,10.127.13.25,Internal,Class A
2960,11.160.110.71,External,External
2961,10.129.235.37,Internal,Class A
2962,10.129.235.24,Internal,Class A
2963,192.168.168.136,Internal,Class C
2964,10.127.13.46,Internal,Class A
2965,94.208.54.127,External,External
2966,10.196.202.6,Internal,Class A
2967,10.129.176.156,Internal,Class A
2968,10.129.87.37,Internal,Class A
2969,10.129.47.13,Internal,Class A
2970,10.196.202.33,Internal,Class A
2971,10.196.222.114,Internal,Class A
2972,10.129.234.188,Internal,Class A
2973,10.196.200.7,Internal,Class A
2974,10.120.13.21,Internal,Class A
2975,10.127.13.143,Internal,Class A
2976,10.127.13.136,Internal,Class A
2977,10.129.87.38,Internal,Class A
2978,192.168.188.95,Internal,Class C
2979,10.199.16.40,Internal,Class A
2980,10.81.14.84,Internal,Class A
2981,10.120.11.189,Internal,Class A
2982,10.129.48.10,Internal,Class A
2983,201.219.16.190,External,External
2984,10.129.47.144,Internal,Class A
2985,10.97.109.116,Internal,Class A
2986,180.231.6.21,External,External
2987,10.196.94.78,Internal,Class A
2988,10.127.12.57,Internal,Class A
2989,10.97.109.4,Internal,Class A
2990,10.196.230.30,Internal,Class A
2991,192.168.142.145,Internal,Class C
2992,10.120.11.42,Internal,Class A
2993,10.97.0.71,Internal,Class A
2994,10.127.13.78,Internal,Class A
2995,10.196.0.21,Internal,Class A
2996,8.17.34.21,External,External
2997,10.120.12.22,Internal,Class A
2998,10.129.176.167,Internal,Class A
2999,192.168.142.192,Internal,Class C
3000,10.196.254.133,Internal,Class A
3001,10.129.229.22,Internal,Class A
3002,10.120.14.7,Internal,Class A
3003,70.57.123.77,External,External
3004,10.196.72.103,Internal,Class A
3005,10.98.0.70,Internal,Class A
3006,88.208.147.91,External,External
3007,192.168.196.209,Internal,Class C
3008,195.69.37.137,External,External
3009,204.108.66.225,External,External
3010,124.24.36.103,External,External
3011,192.168.191.230,Internal,Class C
3012,192.168.153.13,Internal,Class C
3013,10.129.236.33,Internal,Class A
3014,10.120.11.186,Internal,Class A
3015,192.168.182.18,Internal,Class C
3016,10.129.47.55,Internal,Class A
3017,10.196.24.23,Internal,Class A
3018,190.105.247.214,External,External
3019,122.92.219.202,External,External
3020,191.53.91.72,External,External
3021,10.129.176.136,Internal,Class A
3022,10.129.48.6,Internal,Class A
3023,10.200.51.104,Internal,Class A
3024,10.129.235.14,Internal,Class A
3025,43.49.231.211,External,External
3026,10.127.12.255,Internal,Class A
3027,146.82.57.12,External,External
3028,10.129.48.66,Internal,Class A
3029,10.129.176.57,Internal,Class A
3030,10.129.178.12,Internal,Class A
3031,10.129.176.162,Internal,Class A
3032,10.201.111.200,Internal,Class A
3033,10.196.166.120,Internal,Class A
3034,10.196.214.79,Internal,Class A
3035,10.129.176.122,Internal,Class A
3036,43.49.231.189,External,External
3037,116.52.28.174,External,External
3038,10.129.48.11,Internal,Class A
3039,115.94.112.13,External,External
3040,197.96.214.17,External,External
3041,10.129.229.27,Internal,Class A
3042,10.129.175.116,Internal,Class A
3043,10.129.233.31,Internal,Class A
3044,10.129.234.6,Internal,Class A
3045,161.94.222.128,External,External
3046,131.212.217.215,External,External
3047,10.129.175.82,Internal,Class A
3048,10.129.47.95,Internal,Class A
3049,102.7.51.196,External,External
3050,204.108.66.224,External,External
3051,176.233.45.255,Broadcast address,Broadcast address
3052,10.196.12.2,Internal,Class A
3053,191.53.88.30,External,External
3054,10.129.236.43,Internal,Class A
3055,10.199.16.56,Internal,Class A
3056,192.168.142.198,Internal,Class C
3057,10.129.175.63,Internal,Class A
3058,10.120.11.121,Internal,Class A
3059,138.232.158.199,External,External
3060,10.129.179.11,Internal,Class A
3061,10.129.177.11,Internal,Class A
3062,10.120.11.221,Internal,Class A
3063,10.120.11.135,Internal,Class A
3064,192.168.174.229,Internal,Class C
3065,191.35.62.78,External,External
3066,10.196.168.29,Internal,Class A
3067,10.120.11.22,Internal,Class A
3068,10.12.40.143,Internal,Class A
3069,110.207.156.84,External,External
3070,37.205.234.50,External,External
3071,10.196.254.124,Internal,Class A
3072,131.212.217.214,External,External
3073,10.120.13.13,Internal,Class A
3074,192.168.166.10,Internal,Class C
3075,182.115.139.89,External,External
3076,10.120.11.56,Internal,Class A
3077,202.52.84.54,External,External
3078,10.120.11.15,Internal,Class A
3079,10.129.175.214,Internal,Class A
3080,10.129.235.117,Internal,Class A
3081,10.129.234.149,Internal,Class A
3082,77.6.232.4,External,External
3083,10.120.13.35,Internal,Class A
3084,10.129.177.9,Internal,Class A
3085,202.52.43.105,External,External
3086,10.200.105.246,Internal,Class A
3087,202.52.43.116,External,External
3088,192.168.170.13,Internal,Class C
3089,10.129.17.6,Internal,Class A
3090,10.129.47.118,Internal,Class A
3091,10.120.11.161,Internal,Class A
3092,10.129.235.11,Internal,Class A
3093,10.129.175.40,Internal,Class A
3094,10.196.144.84,Internal,Class A
3095,10.129.48.97,Internal,Class A
3096,183.190.176.99,External,External
3097,10.127.12.253,Internal,Class A
3098,10.120.11.219,Internal,Class A
3099,10.120.11.207,Internal,Class A
3100,200.76.139.2,External,External
3101,10.120.11.124,Internal,Class A
3102,10.129.177.6,Internal,Class A
3103,10.129.234.85,Internal,Class A
3104,129.182.83.112,External,External
3105,10.129.235.53,Internal,Class A
3106,10.129.48.99,Internal,Class A
3107,10.178.209.11,Internal,Class A
3108,192.168.252.162,Internal,Class C
3109,55.116.8.93,External,External
3110,10.129.47.94,Internal,Class A
3111,10.129.236.9,Internal,Class A
3112,10.129.177.54,Internal,Class A
3113,83.96.153.189,External,External
3114,112.75.79.172,External,External
3115,10.129.234.169,Internal,Class A
3116,202.52.43.127,External,External
3117,10.129.176.15,Internal,Class A
3118,10.199.13.201,Internal,Class A
3119,120.116.26.86,External,External
3120,10.120.11.132,Internal,Class A
3121,75.192.2.137,External,External
3122,10.129.48.98,Internal,Class A
3123,191.35.62.80,External,External
3124,200.29.32.132,External,External
3125,10.129.175.156,Internal,Class A
3126,10.129.179.8,Internal,Class A
3127,10.129.236.27,Internal,Class A
3128,10.120.11.17,Internal,Class A
3129,10.129.179.67,Internal,Class A
3130,10.120.14.116,Internal,Class A
3131,10.120.13.113,Internal,Class A
3132,10.195.20.24,Internal,Class A
3133,77.19.250.131,External,External
3134,192.168.196.36,Internal,Class C
3135,10.129.48.87,Internal,Class A
3136,10.129.175.74,Internal,Class A
3137,10.129.47.11,Internal,Class A
3138,10.129.235.7,Internal,Class A
3139,10.129.236.21,Internal,Class A
3140,192.168.192.159,Internal,Class C
3141,145.162.106.181,External,External
3142,10.200.41.135,Internal,Class A
3143,10.127.12.76,Internal,Class A
3144,101.172.68.56,External,External
3145,10.120.14.88,Internal,Class A
3146,191.169.255.149,External,External
3147,192.168.37.10,Internal,Class C
3148,192.168.186.37,Internal,Class C
3149,10.195.74.11,Internal,Class A
3150,192.168.143.103,Internal,Class C
3151,10.200.43.110,Internal,Class A
3152,192.168.172.53,Internal,Class C
3153,10.200.43.20,Internal,Class A
3154,10.195.142.74,Internal,Class A
3155,10.195.20.35,Internal,Class A
3156,10.197.78.21,Internal,Class A
3157,192.168.178.74,Internal,Class C
3158,10.197.204.2,Internal,Class A
3159,10.197.207.249,Internal,Class A
3160,10.197.208.14,Internal,Class A
3161,192.168.200.106,Internal,Class C
3162,192.168.198.57,Internal,Class C
3163,10.200.44.150,Internal,Class A
3164,192.168.152.88,Internal,Class C
3165,10.196.74.15,Internal,Class A
3166,10.197.90.89,Internal,Class A
3167,10.196.152.56,Internal,Class A
3168,192.168.164.81,Internal,Class C
3169,10.197.202.6,Internal,Class A
3170,192.168.170.147,Internal,Class C
3171,192.168.142.251,Internal,Class C
3172,192.168.144.48,Internal,Class C
3173,72.240.205.34,External,External
3174,192.168.142.110,Internal,Class C
3175,10.197.202.28,Internal,Class A
3176,192.168.186.53,Internal,Class C
3177,192.168.154.29,Internal,Class C
3178,192.168.182.239,Internal,Class C
3179,10.197.90.114,Internal,Class A
3180,10.197.206.29,Internal,Class A
3181,10.200.46.114,Internal,Class A
3182,10.196.80.67,Internal,Class A
3183,192.168.152.102,Internal,Class C
3184,192.168.155.70,Internal,Class C
3185,192.168.194.201,Internal,Class C
3186,192.168.182.42,Internal,Class C
3187,192.168.176.138,Internal,Class C
3188,10.197.208.26,Internal,Class A
3189,10.197.90.198,Internal,Class A
3190,192.168.168.57,Internal,Class C
3191,192.168.190.60,Internal,Class C
3192,192.168.200.133,Internal,Class C
3193,192.168.172.224,Internal,Class C
3194,192.168.172.69,Internal,Class C
3195,10.195.144.7,Internal,Class A
3196,192.168.162.169,Internal,Class C
3197,192.168.162.215,Internal,Class C
3198,192.168.198.32,Internal,Class C
3199,192.168.170.158,Internal,Class C
3200,10.200.44.54,Internal,Class A
3201,192.168.252.164,Internal,Class C
3202,192.168.151.229,Internal,Class C
3203,192.168.155.54,Internal,Class C
3204,192.168.190.14,Internal,Class C
3205,10.196.86.57,Internal,Class A
3206,10.196.16.18,Internal,Class A
3207,192.168.198.112,Internal,Class C
3208,192.168.182.65,Internal,Class C
3209,192.168.174.111,Internal,Class C
3210,192.168.150.91,Internal,Class C
3211,192.168.190.59,Internal,Class C
3212,192.168.143.193,Internal,Class C
3213,192.168.200.10,Internal,Class C
3214,10.200.43.117,Internal,Class A
3215,192.168.176.5,Internal,Class C
3216,10.196.78.51,Internal,Class A
3217,192.168.170.43,Internal,Class C
3218,10.197.208.46,Internal,Class A
3219,191.220.70.162,External,External
3220,10.197.204.47,Internal,Class A
3221,192.168.195.194,Internal,Class C
3222,192.168.172.67,Internal,Class C
3223,192.168.194.23,Internal,Class C
3224,192.168.182.41,Internal,Class C
3225,192.168.180.70,Internal,Class C
3226,192.168.170.35,Internal,Class C
3227,10.195.78.40,Internal,Class A
3228,10.197.88.25,Internal,Class A
3229,192.168.171.248,Internal,Class C
3230,192.168.172.129,Internal,Class C
3231,10.195.20.41,Internal,Class A
3232,192.168.198.16,Internal,Class C
3233,10.197.80.48,Internal,Class A
3234,192.168.184.10,Internal,Class C
3235,10.195.202.15,Internal,Class A
3236,10.197.206.12,Internal,Class A
3237,10.196.88.86,Internal,Class A
3238,192.168.154.167,Internal,Class C
3239,10.195.254.15,Internal,Class A
3240,192.168.162.164,Internal,Class C
3241,10.195.144.8,Internal,Class A
3242,192.168.192.50,Internal,Class C
3243,192.168.194.225,Internal,Class C
3244,192.168.146.63,Internal,Class C
3245,192.168.164.203,Internal,Class C
3246,192.168.190.131,Internal,Class C
3247,10.195.144.25,Internal,Class A
3248,10.196.144.38,Internal,Class A
3249,192.168.142.170,Internal,Class C
3250,192.168.172.38,Internal,Class C
3251,192.168.170.40,Internal,Class C
3252,88.102.21.215,External,External
3253,192.168.182.45,Internal,Class C
3254,10.195.144.23,Internal,Class A
3255,192.168.174.57,Internal,Class C
3256,192.168.186.13,Internal,Class C
3257,10.195.20.58,Internal,Class A
3258,10.197.207.253,Internal,Class A
3259,192.168.162.64,Internal,Class C
3260,10.197.204.34,Internal,Class A
3261,192.168.198.72,Internal,Class C
3262,192.168.186.44,Internal,Class C
3263,192.168.146.115,Internal,Class C
3264,10.197.206.32,Internal,Class A
3265,192.168.198.83,Internal,Class C
3266,192.168.200.48,Internal,Class C
3267,10.197.78.35,Internal,Class A
3268,192.168.183.254,Internal,Class C
3269,10.195.144.24,Internal,Class A
3270,192.168.145.72,Internal,Class C
3271,192.168.176.173,Internal,Class C
3272,192.168.143.13,Internal,Class C
3273,192.168.162.159,Internal,Class C
3274,10.196.150.28,Internal,Class A
3275,192.168.198.76,Internal,Class C
3276,192.168.155.151,Internal,Class C
3277,192.168.166.98,Internal,Class C
3278,192.168.172.61,Internal,Class C
3279,10.195.80.15,Internal,Class A
3280,192.168.176.189,Internal,Class C
3281,192.168.194.194,Internal,Class C
3282,10.195.142.17,Internal,Class A
3283,192.168.146.42,Internal,Class C
3284,10.195.142.72,Internal,Class A
3285,192.168.152.205,Internal,Class C
3286,10.197.206.83,Internal,Class A
3287,192.168.190.15,Internal,Class C
3288,72.203.212.222,External,External
3289,192.168.148.50,Internal,Class C
3290,10.197.208.13,Internal,Class A
3291,192.168.171.249,Internal,Class C
3292,192.168.188.30,Internal,Class C
3293,192.168.154.163,Internal,Class C
3294,192.168.180.43,Internal,Class C
3295,192.168.192.135,Internal,Class C
3296,192.168.144.91,Internal,Class C
3297,95.238.154.247,External,External
3298,192.168.194.46,Internal,Class C
3299,192.168.176.233,Internal,Class C
3300,192.168.144.149,Internal,Class C
3301,192.168.146.74,Internal,Class C
3302,192.168.154.123,Internal,Class C
3303,10.200.44.145,Internal,Class A
3304,192.168.138.37,Internal,Class C
3305,10.197.80.7,Internal,Class A
3306,192.168.174.158,Internal,Class C
3307,192.168.155.111,Internal,Class C
3308,10.196.86.120,Internal,Class A
3309,192.168.190.21,Internal,Class C
3310,192.168.146.89,Internal,Class C
3311,192.168.192.156,Internal,Class C
3312,125.23.18.143,External,External
3313,10.196.224.141,Internal,Class A
3314,192.168.162.113,Internal,Class C
3315,10.196.150.46,Internal,Class A
3316,192.168.157.100,Internal,Class C
3317,10.197.78.97,Internal,Class A
3318,192.168.164.1,Internal,Class C
3319,192.168.178.48,Internal,Class C
3320,192.168.200.57,Internal,Class C
3321,10.197.88.15,Internal,Class A
3322,10.196.80.77,Internal,Class A
3323,192.168.174.221,Internal,Class C
3324,10.196.84.7,Internal,Class A
3325,10.197.90.125,Internal,Class A
3326,192.168.150.79,Internal,Class C
3327,10.195.208.5,Internal,Class A
3328,192.168.190.61,Internal,Class C
3329,192.168.200.24,Internal,Class C
3330,192.168.156.91,Internal,Class C
3331,192.168.179.227,Internal,Class C
3332,192.168.156.65,Internal,Class C
3333,10.197.206.22,Internal,Class A
3334,10.195.206.15,Internal,Class A
3335,10.196.88.39,Internal,Class A
3336,10.196.142.24,Internal,Class A
3337,192.168.192.116,Internal,Class C
3338,192.168.176.10,Internal,Class C
3339,10.197.88.40,Internal,Class A
3340,10.195.18.52,Internal,Class A
3341,192.168.162.186,Internal,Class C
3342,192.168.156.47,Internal,Class C
3343,192.168.162.60,Internal,Class C
3344,192.168.190.38,Internal,Class C
3345,192.168.198.11,Internal,Class C
3346,10.195.208.27,Internal,Class A
3347,192.168.157.177,Internal,Class C
3348,192.168.171.253,Internal,Class C
3349,222.58.210.46,External,External
3350,110.244.46.16,External,External
3351,23.130.21.5,External,External
3352,71.55.163.78,External,External
3353,230.0.0.1,Multicast,Multicast
3354,19.107.4.52,External,External
3355,178.217.12.131,External,External
3356,78.21.91.29,External,External
3357,40.238.186.86,External,External
3358,29.3.13.114,External,External
3359,178.217.12.163,External,External
3360,157.101.250.2,External,External
3361,230.0.0.252,Multicast,Multicast
3362,110.36.115.102,External,External
3363,60.165.214.240,External,External
3364,110.95.234.248,External,External
3365,10.196.89.254,Internal,Class A
3366,46.126.1.164,External,External
3367,14.8.4.4,External,External
3368,58.85.93.166,External,External
3369,78.21.81.253,External,External
3370,178.217.7.14,External,External
3371,10.81.0.84,Internal,Class A
3372,215.206.58.5,External,External
3373,23.167.192.225,External,External
3374,230.0.0.251,Multicast,Multicast
3375,222.58.210.35,External,External
3376,57.144.36.146,External,External
3377,222.58.204.78,External,External
3378,210.79.197.200,External,External
3379,43.252.246.100,External,External
3380,218.82.101.50,External,External
3381,41.196.168.191,External,External
3382,29.46.60.208,External,External
3383,230.0.0.200,Multicast,Multicast
3384,23.252.11.246,External,External
3385,29.222.30.35,External,External
3386,29.3.13.152,External,External
3387,23.253.21.201,External,External
3388,19.35.197.124,External,External
3389,46.124.45.19,External,External
3390,29.3.13.128,External,External
3391,46.97.169.146,External,External
3392,37.13.71.1,External,External
3393,99.184.216.110,External,External
3394,178.217.2.46,External,External
3395,19.107.136.9,External,External
3396,14.39.55.190,External,External
3397,102.16.146.167,External,External
3398,29.4.113.140,External,External
3399,179.194.135.104,External,External
3400,215.85.144.154,External,External
3401,9.121.8.251,External,External
3402,52.30.14.249,External,External
3403,10.196.145.254,Internal,Class A
3404,222.58.208.142,External,External
3405,180.129.3.23,External,External
3406,149.204.212.210,External,External
3407,58.109.88.40,External,External
3408,208.241.208.4,External,External
3409,190.26.158.118,External,External
3410,158.195.55.192,External,External
3411,175.55.70.195,External,External
3412,94.221.17.172,External,External
3413,8.20.202.106,External,External
3414,29.218.116.185,External,External
3415,60.148.177.165,External,External
3416,19.107.21.200,External,External
3417,114.177.15.189,External,External
3418,72.218.84.137,External,External
3419,73.135.105.122,External,External
3420,29.32.155.131,External,External
3421,178.217.10.2,External,External
3422,19.32.66.137,External,External
3423,46.100.174.210,External,External
3424,222.58.204.2,External,External
3425,222.58.206.131,External,External
3426,23.253.37.209,External,External
3427,58.9.209.161,External,External
3428,178.217.11.46,External,External
3429,222.58.213.78,External,External
3430,178.217.10.232,External,External
3431,178.217.3.106,External,External
3432,178.217.10.130,External,External
3433,10.81.15.13,Internal,Class A
3434,70.12.128.174,External,External
3435,178.217.9.238,External,External
3436,58.138.216.83,External,External
3437,178.217.10.46,External,External
3438,41.173.106.117,External,External
3439,46.97.124.226,External,External
3440,23.171.47.85,External,External
3441,46.100.173.200,External,External
3442,58.97.146.162,External,External
3443,46.97.153.146,External,External
3444,10.0.0.224,Internal,Class A
3445,93.248.100.137,External,External
3446,58.168.20.22,External,External
3447,29.3.13.121,External,External
3448,23.242.18.66,External,External
3449,222.58.204.67,External,External
3450,222.58.208.138,External,External
3451,40.233.152.142,External,External
3452,78.167.239.239,External,External
3453,222.58.206.142,External,External
3454,178.217.11.14,External,External
3455,19.107.3.128,External,External
3456,58.142.114.176,External,External
3457,23.248.135.233,External,External
3458,29.79.31.134,External,External
3459,75.166.1.10,External,External
3460,71.55.163.76,External,External
3461,58.97.146.114,External,External
3462,10.81.15.12,Internal,Class A
3463,46.122.216.16,External,External
3464,163.55.135.134,External,External
3465,222.58.198.163,External,External
3466,114.177.122.84,External,External
3467,83.234.44.64,External,External
3468,46.112.91.29,External,External
3469,46.100.174.226,External,External
3470,222.58.204.74,External,External
3471,46.126.3.34,External,External
3472,51.33.90.169,External,External
3473,210.16.244.13,External,External
3474,209.137.94.24,External,External
3475,165.127.42.172,External,External
3476,46.126.1.128,External,External
3477,29.3.13.18,External,External
3478,58.97.133.146,External,External
3479,58.97.131.114,External,External
3480,58.216.133.189,External,External
3481,173.89.115.56,External,External
3482,10.129.235.68,Internal,Class A
3483,29.4.187.27,External,External
3484,80.125.133.188,External,External
3485,190.27.220.246,External,External
3486,40.237.44.255,Broadcast address,Broadcast address
3487,29.198.90.193,External,External
3488,71.55.252.190,External,External
3489,58.97.133.210,External,External
3490,179.243.138.104,External,External
3491,178.217.10.34,External,External
3492,110.43.203.255,Broadcast address,Broadcast address
3493,110.76.111.191,External,External
3494,222.58.208.170,External,External
3495,29.196.74.38,External,External
3496,60.164.89.45,External,External
3497,215.206.57.69,External,External
3498,157.101.16.193,External,External
3499,58.109.88.39,External,External
3500,143.116.81.69,External,External
3501,182.34.238.136,External,External
3502,78.21.91.70,External,External
3503,104.138.219.232,External,External
3504,29.218.126.170,External,External
3505,23.167.192.94,External,External
3506,58.29.123.178,External,External
3507,23.253.35.208,External,External
3508,93.240.180.136,External,External
3509,222.58.206.46,External,External
3510,58.97.146.130,External,External
3511,198.184.68.147,External,External
3512,29.44.245.220,External,External
3513,40.195.20.195,External,External
3514,58.85.89.16,External,External
3515,23.134.127.223,External,External
3516,58.97.165.146,External,External
3517,74.66.216.54,External,External
3518,94.221.134.121,External,External
3519,58.97.133.162,External,External
3520,110.41.228.90,External,External
3521,60.86.31.217,External,External
3522,78.21.81.200,External,External
3523,58.52.208.222,External,External
3524,58.202.62.235,External,External
3525,168.210.193.13,External,External
3526,222.58.210.36,External,External
3527,23.253.35.207,External,External
3528,230.0.1.129,Multicast,Multicast
3529,168.250.6.158,External,External
3530,58.216.176.133,External,External
3531,29.217.251.190,External,External
3532,59.224.186.35,External,External
3533,29.57.19.52,External,External
3534,180.35.53.188,External,External
3535,178.217.8.163,External,External
3536,178.217.6.206,External,External
3537,37.13.90.36,External,External
3538,75.172.216.55,External,External
3539,87.17.208.213,External,External
